City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yerbogachen,61.2767,108.0108,16.79,96,73,3.83,RU,1635271106
1,nikolskoye,59.7035,30.7861,45.88,87,100,7.45,RU,1635270648
2,rikitea,-23.1203,-134.9692,75.11,79,100,18.75,PF,1635270625
3,hermanus,-34.4187,19.2345,64.8,82,94,18.16,ZA,1635270599
4,chiredzi,-21.05,31.6667,73.44,60,35,8.5,ZW,1635271115
5,lorengau,-2.0226,147.2712,81.54,74,34,6.35,PG,1635270914
6,pachino,36.7186,15.0907,64.44,80,95,24.27,IT,1635271119
7,victoria,22.2855,114.1577,78.85,85,100,5.01,HK,1635270959
8,kapaa,22.0752,-159.319,74.19,89,1,10.36,US,1635270498
9,lethem,3.3803,-59.7968,83.39,70,100,0.43,GY,1635271084
10,busselton,-33.65,115.3333,48.04,91,100,5.82,AU,1635270608
11,punta arenas,-53.15,-70.9167,50.11,66,20,34.52,CL,1635270750
12,namibe,-15.1961,12.1522,66.92,73,15,10.22,AO,1635270932
13,coihueco,-36.6167,-71.8333,72.34,46,0,9.22,CL,1635271134
14,lompoc,34.6391,-120.4579,69.57,68,0,14.0,US,1635271136
15,bethel,41.3712,-73.414,63.1,93,100,1.99,US,1635270376
16,puerto ayora,-0.7393,-90.3518,75.16,74,67,10.96,EC,1635270606
17,brokopondo,4.75,-55.1667,87.58,57,82,2.68,SR,1635271143
18,longyearbyen,78.2186,15.6401,12.04,79,20,5.75,SJ,1635271145
19,taoudenni,22.6783,-3.9836,91.8,14,80,4.72,ML,1635271150
20,grindavik,63.8424,-22.4338,41.47,87,90,16.11,IS,1635270844
21,georgetown,5.4112,100.3354,78.89,97,40,7.0,MY,1635270689
22,tulum,20.2167,-87.4667,88.93,77,90,5.53,MX,1635271114
23,saint george,37.1041,-113.5841,59.63,39,1,7.0,US,1635270661
24,ribeira grande,38.5167,-28.7,72.0,88,75,16.11,PT,1635270740
25,porto walter,-8.2686,-72.7439,92.82,40,86,1.79,BR,1635271163
26,tiksi,71.6872,128.8694,12.15,95,100,3.15,RU,1635270889
27,arraial do cabo,-22.9661,-42.0278,76.96,78,75,14.97,BR,1635270881
28,butaritari,3.0707,172.7902,82.13,75,71,12.33,KI,1635270979
29,ratnagiri,16.9833,73.3,77.07,76,4,6.58,IN,1635271173
30,reading,51.4562,-0.9711,60.75,81,75,1.99,GB,1635271101
31,ranong,9.9658,98.6348,78.44,88,77,3.91,TH,1635271178
32,oranjemund,-28.55,16.4333,62.35,85,5,7.47,NA,1635271180
33,pedasi,7.5333,-80.0333,83.86,66,89,6.85,PA,1635271182
34,shimoda,34.6667,138.95,62.1,81,90,4.18,JP,1635271185
35,chara,56.9064,118.2631,27.99,78,76,1.7,RU,1635271187
36,haines junction,60.7522,-137.5108,13.95,92,100,0.0,CA,1635271192
37,gat,31.61,34.7642,71.82,67,0,7.58,IL,1635271194
38,mataura,-46.1927,168.8643,50.72,100,100,0.38,NZ,1635271196
39,mason,39.3601,-84.3099,57.43,60,40,4.0,US,1635271003
40,ventspils,57.3894,21.5606,51.73,100,90,12.66,LV,1635271201
41,hithadhoo,-0.6,73.0833,83.82,71,43,16.62,MV,1635270851
42,faya,18.3851,42.4509,63.27,64,31,2.51,SA,1635271206
43,bredasdorp,-34.5322,20.0403,64.27,86,99,19.57,ZA,1635271208
44,port elizabeth,-33.918,25.5701,68.09,82,75,16.11,ZA,1635270882
45,port said,31.2565,32.2841,74.28,67,0,12.95,EG,1635271213
46,hobart,-42.8794,147.3294,45.05,90,83,3.0,AU,1635270710
47,provideniya,64.3833,-173.3,14.99,81,89,5.53,RU,1635270802
48,bongandanga,1.5,21.05,74.93,81,43,1.61,CD,1635271220
49,meulaboh,4.1363,96.1285,76.42,88,98,4.0,ID,1635271227
50,ixtapa,20.7,-105.2,86.23,71,51,4.0,MX,1635271022
51,shar,49.5886,81.0453,46.96,49,24,10.67,KZ,1635271232
52,agadez,19.75,10.25,86.07,12,2,8.55,NE,1635271234
53,nkhata bay,-11.6066,34.2907,78.06,70,67,6.44,MW,1635271237
54,qaanaaq,77.484,-69.3632,16.86,94,100,14.23,GL,1635271239
55,avarua,-21.2078,-159.775,75.25,64,99,6.91,CK,1635270834
56,flinders,-34.5833,150.8552,60.8,89,24,3.8,AU,1635271243
57,gabriel leyva solano,25.6667,-108.6417,84.02,50,3,6.89,MX,1635271248
58,seymchan,62.8833,152.4333,-1.61,97,65,0.89,RU,1635271250
59,ayan,56.45,138.1667,37.89,87,100,9.84,RU,1635271253
60,lebu,-37.6167,-73.65,57.07,73,9,17.2,CL,1635271255
61,vestmanna,62.1564,-7.1664,50.92,100,90,18.41,FO,1635271257
62,yellowknife,62.456,-114.3525,36.41,100,90,4.61,CA,1635270832
63,george town,5.4112,100.3354,78.73,97,40,7.0,MY,1635271181
64,maseru,-29.3167,27.4833,63.27,48,24,5.55,LS,1635271264
65,tambun,-6.2641,107.0712,82.49,78,92,2.66,ID,1635271266
66,juneau,58.3019,-134.4197,43.84,97,100,5.06,US,1635271012
67,dikson,73.5069,80.5464,13.44,85,100,10.78,RU,1635270830
68,dingle,10.9995,122.6711,75.72,93,81,6.6,PH,1635271003
69,gisborne,-38.6533,178.0042,59.95,90,93,6.33,NZ,1635271258
70,hilo,19.7297,-155.09,82.27,76,20,9.22,US,1635270702
71,birjand,32.8663,59.2211,52.86,28,0,7.9,IR,1635271279
72,aberdeen,57.1437,-2.0981,59.49,91,40,17.27,GB,1635271038
73,tamandare,-8.7597,-35.1047,81.95,67,40,12.77,BR,1635271284
74,vancouver,49.2497,-123.1193,52.92,90,90,4.0,CA,1635271014
75,cape town,-33.9258,18.4232,73.27,55,0,3.0,ZA,1635270763
76,vila velha,-20.3297,-40.2925,75.24,86,99,4.76,BR,1635271223
